# encoder and dsp items the pipeline never calls. Generated by
# tools/dead_code_ledger.py --write; checked in CI. Columns: crate, module,
# file, kind (rustc's words), item, tests (yes = only the parity tests call
# it; no = nothing does). 809 items in 53 modules, 136 with no caller at all.
encoder	port_entropy_inter	port_entropy_inter/neighbors.rs	constant	TX_UNIT_LOG2	yes
encoder	port_entropy_inter	port_entropy_inter/neighbors.rs	function	max_block_high	yes
encoder	port_entropy_inter	port_entropy_inter/neighbors.rs	function	max_block_wide	yes
encoder	port_entropy_inter	port_entropy_inter/neighbors.rs	function	set_mi_row_col	yes
encoder	port_entropy_inter	port_entropy_inter/neighbors.rs	struct	BlockGeometry	yes
encoder	port_entropy_inter	port_entropy_inter/neighbors.rs	struct	TileBounds	yes
encoder	port_entropy_inter	port_entropy_inter/primitives.rs	function	allow_palette	yes
encoder	port_entropy_inter	port_entropy_inter/primitives.rs	function	cost_literal	yes
encoder	port_entropy_inter	port_entropy_inter/primitives.rs	function	get_msb	yes
encoder	port_entropy_inter	port_entropy_inter/primitives.rs	function	get_unsigned_bits	yes
encoder	port_entropy_inter	port_entropy_inter/primitives.rs	function	kf_y_mode_ctx	yes
encoder	port_entropy_inter	port_entropy_inter/primitives.rs	function	palette_mode_ctx	yes
encoder	port_entropy_inter	port_entropy_inter/primitives.rs	function	uleb_size_in_bytes	yes
encoder	port_entropy_inter	port_entropy_inter/primitives.rs	function	write_uniform_cost	yes
encoder	port_entropy_inter	port_entropy_inter/refframe.rs	associated function	from_fc	yes
encoder	port_frame_update	port_frame_update.rs	function	frame_update_type	yes
encoder	port_full_loop_md	port_full_loop_md.rs	constant	AV1_PROB_COST_SHIFT	yes
encoder	port_full_loop_md	port_full_loop_md.rs	constant	BIT_COST	yes
encoder	port_full_loop_md	port_full_loop_md.rs	constant	RDDIV_BITS	yes
encoder	port_full_loop_md	port_full_loop_md.rs	function	coeff_dist	yes
encoder	port_full_loop_md	port_full_loop_md.rs	function	do_md_recon	yes
encoder	port_full_loop_md	port_full_loop_md.rs	function	shave_coeff	yes
encoder	port_full_loop_md	port_full_loop_md.rs	function	shave_est_zero_rate_save	yes
encoder	port_full_loop_md	port_full_loop_md.rs	function	skip_chroma_rate_est	yes
encoder	port_full_loop_md	port_full_loop_md.rs	struct	ChromaCoeffBits	yes
encoder	port_full_loop_md	port_full_loop_md.rs	struct	CoeffShavingCtrls	yes
encoder	port_full_loop_md	port_full_loop_md.rs	struct	MdReconInputs	yes
encoder	port_global_motion	port_global_motion.rs	constant	GM_ERRORADV_TR_2	yes
encoder	port_gm_correspondence	port_gm_correspondence.rs	variants	Down	yes
encoder	port_gm_correspondence	port_gm_correspondence.rs	variants	Down16	no
encoder	port_lr_level	port_lr_level.rs	constant	INPUT_SIZE_360P_RANGE	yes
encoder	port_lr_level	port_lr_level.rs	function	sg_filter_level_rtc	no
encoder	port_lr_level	port_lr_level.rs	function	wn_filter_level_allintra	yes
encoder	port_md	port_md/coding_loop.rs	constant	HIGH_SPATIAL_MV_TH	yes
encoder	port_md	port_md/coding_loop.rs	constant	INVALID_MV_AS_INT	yes
encoder	port_md	port_md/coding_loop.rs	constant	LOW_SPATIAL_MV_TH	yes
encoder	port_md	port_md/coding_loop.rs	constant	LOW_TEMPORAL_MV_TH	yes
encoder	port_md	port_md/coding_loop.rs	constant	MEDIUM_SPATIAL_MV_TH	yes
encoder	port_md	port_md/coding_loop.rs	constant	MEDIUM_TEMPORAL_MV_TH	yes
encoder	port_md	port_md/coding_loop.rs	constant	VLPD0_NOISE_SHIFT	yes
encoder	port_md	port_md/coding_loop.rs	function	b64_index	yes
encoder	port_md	port_md/coding_loop.rs	function	check_spatial_mv_size	yes
encoder	port_md	port_md/coding_loop.rs	function	check_temporal_mv_size	yes
encoder	port_md	port_md/coding_loop.rs	function	compute_lpd0_cost_from_variance	yes
encoder	port_md	port_md/coding_loop.rs	function	derive_me_offsets	yes
encoder	port_md	port_md/coding_loop.rs	function	eliminate_candidate_based_on_pme_me_results	yes
encoder	port_md	port_md/coding_loop.rs	function	enabled_groups	yes
encoder	port_md	port_md/coding_loop.rs	function	is_intra_bordered	yes
encoder	port_md	port_md/coding_loop.rs	function	lpd0_inter_candidate_walk	yes
encoder	port_md	port_md/coding_loop.rs	function	perform_md_reference_pruning	yes
